Expected_ϕ₀_CT,Estimated_ϕ₀_CT,Δϕ_CT,Method
0,23.37665787715187,-1.4050450154935596,Fitting_sin
4,22.47103047798237,-0.7359166979055551,Fitting_sin
8,2.7855260741345664,-1.4476012255124002,Fitting_sin
12,10.891858195061252,2.7255165725621,Fitting_sin
16,18.876975185312997,0.9920020775700529,Fitting_sin
20,21.49127875208032,-0.38243195854164114,Fitting_sin
0,23.37665787715187,0.0,Time_corr
4,23.87665787715187,-0.25,Time_corr
8,6.626657877151871,-0.25,Time_corr
12,12.126657877151871,4.0,Time_corr
16,18.87665787715187,0.75,Time_corr
20,20.12665787715187,0.0,Time_corr
