Param,Val,Method
A₀,0.4870316591205689,Fit
A₁,1.4512024429810708,Fit
ψ₁,3.3653896244199575,Fit
A₂,0.5382442249922256,Fit
ψ₂,4.3811672191973985,Fit
A₀,0.48959174262285543,Corr
A₁,1.5353760136529575,Corr
ψ₁,3.3951542109128456,Corr
A₂,0.5682727802013315,Corr
ψ₂,4.597391150020907,Corr
